Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,Total,Nett
1,LAERKE BUHL-HANSEN,2664,DEN,2.0,1.0,(3.0),(11.0),3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,-,33.0,19.0
1,JOHAN SOE SOE,2263,,(1.0),(1.0),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,13.0
2,MAYA GYSLER,3389,NOR,1.0,3.0,1.0,(11.0),1.0,2.0,2.0,2.0,(4.0),1.0,1.0,2.0,3.0,3.0,-,37.0,22.0
2,VIDAR NYSTROM,5037,SWE,2.0,2.0,(6.0),3.0,2.0,2.0,5.0,4.0,5.0,5.0,(6.0),6.0,3.0,2.0,2.0,55.0,43.0
3,SOPHIA MEYER,4541,,(7.0),(11.0),4.0,1.0,2.0,4.0,4.0,4.0,2.0,5.0,3.0,3.0,4.0,4.0,-,58.0,40.0
3,CHRISTOFFER DAMGAARD,886,,(11.0),3.0,3.0,(11.0),11.0,5.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,68.0,46.0
4,SOFIE TORNGAARD HAMMEKEN,4534,,3.0,5.0,2.0,2.0,4.0,5.0,(6.0),(6.0),6.0,3.0,5.0,6.0,5.0,5.0,-,63.0,51.0
4,TOMASZ ROMANOWSKI,4895,POL,3.0,7.0,2.0,2.0,(8.0),8.0,2.0,(11.0),3.0,2.0,2.0,3.0,6.0,5.0,5.0,69.0,50.0
5,JOHANNA HJERTBERG,2266,SWE,8.0,7.0,(9.0),(11.0),5.0,3.0,5.0,5.0,3.0,4.0,6.0,4.0,2.0,2.0,-,74.0,54.0
5,ALFRED TANG DIXEN,145,DEN,5.0,4.0,(11.0),7.0,6.0,3.0,4.0,3.0,7.0,4.0,3.0,(11.0),8.0,4.0,4.0,84.0,62.0
6,ODA SVERRE,3775,NOR,4.0,2.0,8.0,6.0,(11.0),6.0,3.0,1.0,5.0,6.0,4.0,5.0,(11.0),11.0,-,83.0,61.0
6,RASMUS ROSENGREN,4107,,4.0,5.0,4.0,4.0,3.0,4.0,8.0,(9.0),(9.0),9.0,7.0,5.0,5.0,6.0,6.0,88.0,70.0
7,OLINE LONNUM,3804,,6.0,4.0,6.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,(11.0),(11.0),-,98.0,76.0
7,KASPER STORVANG,2494,DEN,6.0,6.0,5.0,5.0,4.0,(9.0),(9.0),8.0,6.0,7.0,8.0,8.0,4.0,9.0,9.0,103.0,85.0
8,FREDERIC RAMSGAARD ORUM,1552,,(11.0),(11.0),11.0,6.0,7.0,6.0,6.0,6.0,4.0,6.0,5.0,7.0,7.0,8.0,8.0,109.0,87.0
8,CHRISTINA LARSEN,881,,9.0,6.0,7.0,5.0,8.0,8.0,8.0,8.0,(11.0),(11.0),11.0,7.0,6.0,6.0,-,111.0,89.0
9,JONAS THYME,2291,,7.0,(11.0),7.0,(11.0),5.0,7.0,10.0,5.0,10.0,8.0,9.0,4.0,9.0,7.0,7.0,117.0,95.0
9,LINE NIELSEN,2828,,5.0,8.0,5.0,4.0,6.0,(11.0),(11.0),11.0,11.0,11.0,11.0,11.0,11.0,11.0,-,127.0,105.0
10,NINA DYRBERG,3730,,(11.0),(11.0),11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,-,154.0,132.0
10,ROBERT KLANG,4170,,(11.0),(11.0),11.0,11.0,11.0,11.0,7.0,7.0,8.0,11.0,10.0,9.0,11.0,11.0,11.0,151.0,129.0
