Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,Total,Nett
1,TOBIAS RECK,4846,,1.0,2.0,(4.0),1.0,2.0,10.0,6.0
2,JURGEN FLEHR,2427,,(4.0),1.0,3.0,4.0,1.0,13.0,9.0
3,JACOBUS DEN DRIJVER,2062,,2.0,5.0,1.0,2.0,(6.0),16.0,10.0
4,CHRISTOPH WEIDEMANN,890,,3.0,3.0,2.0,3.0,(7.0),18.0,11.0
5,DARIUS FEKRI,1045,,(17.0),4.0,6.0,6.0,5.0,38.0,21.0
6,FABIAN EBERL,1389,,6.0,(10.0),5.0,7.0,8.0,36.0,26.0
7,STEFAN DAUBNER,4576,,7.0,8.0,(11.0),9.0,3.0,38.0,27.0
8,"TILL NI, ESSNER",4801,,11.0,(12.0),7.0,5.0,9.0,44.0,32.0
9,CHRISTIAN FLEURY,872,,9.0,6.0,9.0,(11.0),10.0,45.0,34.0
10,ERIK FINN JOHANNES PITZNER,1336,,8.0,(13.0),12.0,12.0,4.0,49.0,36.0
11,CHRISTIAN FORDERER,873,,10.0,11.0,8.0,8.0,(13.0),50.0,37.0
12,JURGEN SILBERZAHN,2428,,12.0,7.0,10.0,10.0,(15.0),54.0,39.0
13,ARNE WINKELMANN,373,,5.0,9.0,(14.0),14.0,14.0,56.0,42.0
14,JULIAN AREVALO,2394,,(17.0),15.0,13.0,13.0,11.0,69.0,52.0
15,MARCO DEICHMANN,3085,,13.0,14.0,(17.0),16.0,12.0,72.0,55.0
16,ROBERT KREILAUS,4171,,14.0,(16.0),15.0,15.0,16.0,76.0,60.0
