Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,Total,Nett
1,ALINA SHAPOVALOVA,160,UKR,(1.0),1.0,1.0,1.0,4.0,3.0
2,ENNIO TURRIN,1312,,(6.0),3.0,3.0,2.0,14.0,8.0
3,ANTOINE COMBY,333,,(8.0),4.0,2.0,3.0,17.0,9.0
4,LENNY ZUGER,2748,,2.0,2.0,6.0,(8.0),18.0,10.0
5,TIMOTEO FILIPPINI,4823,,4.0,5.0,4.0,(7.0),20.0,13.0
6,THOMAS VEZ,4782,,3.0,(8.0),7.0,6.0,24.0,16.0
7,JONAS BARRAUD,2290,,(7.0),6.0,5.0,5.0,23.0,16.0
8,JOSEPH RICHARDSON,2338,,(11.0),9.0,9.0,4.0,33.0,22.0
9,LUCAS SUDAN,2913,,9.0,7.0,8.0,(10.0),34.0,24.0
10,AMELIE RITSCHEL,187,,5.0,(15.0),10.0,13.0,43.0,28.0
11,LUCILLE ANDREY,2922,,(13.0),11.0,11.0,9.0,44.0,31.0
12,JOANNA UTIGER,2241,,(12.0),10.0,12.0,11.0,45.0,33.0
13,LEANDRO CASPAR,2723,,10.0,12.0,13.0,(16.0),51.0,35.0
14,ZOE CLAIRE AUBERSON,5283,,(14.0),13.0,14.0,12.0,53.0,39.0
15,ARTEM FILATOV,381,,15.0,(16.0),15.0,14.0,60.0,44.0
16,ALEJANDRO KUFFER,90,,(16.0),14.0,16.0,15.0,61.0,45.0
