Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,Total,Nett
1,"MARKUS MEILCHEN, BERND SCHALTE",3190,,1.0,2.0,1.0,4.0,4.0
2,"MARC DEMEESTER, MATHIEU VIRGILE",3071,,2.0,1.0,2.0,5.0,5.0
3,"JOERG WARTENBERG, ANDREAS FUCHS",2257,,6.0,3.0,3.0,12.0,12.0
4,"ELENA EBERHARDT, OLIVER BECKER",1234,,4.0,4.0,4.0,12.0,12.0
5,"ERIC MATHIEU, ALIX MATHIEU",1327,,3.0,6.0,5.0,14.0,14.0
6,"ANNIKA BECKER, XX XX",327,,5.0,5.0,6.0,16.0,16.0
7,"THOMAS SCHUMANN, TARIC LUDT",4777,,9.0,7.0,8.0,24.0,24.0
8,"EVA GEISELMANN, CHRISTIAN FUCHS",1369,,7.0,8.0,9.0,24.0,24.0
9,"HENRIKE LERCH, FREDERIK KOSKA",1873,,8.0,9.0,10.0,27.0,27.0
10,"JEHAN HAOT, FRANCOIS DOMMES",2161,,12.0,10.0,7.0,29.0,29.0
11,"STEPHAN HAMMER, ANDY MULLER",4598,,10.0,11.0,11.0,32.0,32.0
