,RANK,NAT,SAIL NUMBER,SAILOR NAME,WS ID,UNKNOW,Q1,Q2,Q3,Q4,Q5,F1,F2,TOTAL,NETT
0,1,ITA,221725,ENRICO TANFERNA,ITAET29,Q,24-0-0,28-0-0,27-0-0,29-1-0,18-0-0,3-0-0,2-0-0,131,102
1,2,DEN,218174,NIKOLAJ BORCH,DENNB11,Q,27-0-0,22-0-0,35-1-0,17-0-0,31-0-0,5-0-0,3-0-0,140,105
2,3,ITA,218910,LUCA VALENTINO,ITALV27,Q,20-0-0,38-1-0,24-0-0,29-0-0,23-0-0,13-0-0,6-0-0,153,115
3,4,FIN,215411,NOEL LAUKKANEN,FINNL4,Q,22-0-0,31-0-0,10-0-0,41-1-0,32-0-0,29-0-0,4-0-0,169,128
4,5,GRE,219877,LAMPROS NIKOLAOS GARMPIS,GRELG4,NO,15-0-0,40-1-0,35-0-0,27-0-0,39-0-0,6-0-0,8-0-0,170,130
5,6,ARU,221101,JUST VAN AANHOLT,AHOJV1,NON EU,28-0-0,31-0-0,37-1-0,32-0-0,21-0-0,18-0-0,1-0-0,168,131
6,7,LTU,221110,RADVILAS JANULIONIS,LTURJ2,NO,17-0-0,30-0-0,41-0-0,47-1-DSQ,33-0-0,8-0-0,9-0-0,185,138
7,8,SWE,221474,ERIK NORLEN,SWEEN8,Q,40-1-0,32-0-0,36-0-0,25-0-0,30-0-0,11-0-0,7-0-0,181,141
8,9,TUR,231923,UMUT EYRIPARMAK,TURUE4,Q,31-0-0,47-1-RET,23-0-0,39-0-0,37-0-0,7-0-0,5-0-0,189,142
9,10,POL,224925,PIOTR MALINOWSKI,POLPM12,NO,26-0-0,17-0-0,38-1-0,36-0-0,31-0-0,22-0-0,11-0-0,181,143
10,11,SUI,211721,MARTIN VERHULST,SUIMV12,NO,33-0-0,38-1-0,27-0-0,17-0-0,34-0-0,19-0-0,17-0-0,185,147
11,12,ESP,211147,JAGO HUERCANOS MACHIMBARRENA,ESPJH16,Q,35-0-0,36-0-0,30-0-0,47-1-RET,27-0-0,1-0-0,19-0-0,195,148
12,13,UKR,217723,ANDREW VERDYSH,UKRAV3,NO,18-0-0,36-0-0,36-0-0,25-0-0,40-1-0,9-0-0,24-0-0,188,148
13,14,GBR,221580,JOSH MORGAN,GBRJM207,Q,18-0-0,41-1-0,32-0-0,35-0-0,39-0-0,12-0-0,12-0-0,189,148
14,15,ITA,193144,ANATOL SASSI,ITAAS189,Q,33-0-0,14-0-0,39-0-0,33-0-0,43-1-0,10-0-0,20-0-0,192,149
15,16,SLO,220638,BENJAMIN AGANOVIE,SLOBA3,NO,30-0-0,32-0-0,39-0-0,32-0-0,40-1-0,2-0-0,16-0-0,191,151
16,17,ITA,221713,ALBERTO DIVELLA,ITAAD130,Q,41-1-0,13-0-0,37-0-0,40-0-0,34-0-0,14-0-0,13-0-0,192,151
17,18,GER,221617,LENNART KUSS,GERLK41,Q,23-0-0,29-0-0,36-0-0,26-0-0,43-1-0,17-0-0,23-0-0,197,154
18,19,AUT,191101,CLEMENS KUBBER,AUTCK11,NO,47-1-DSQ,33-0-0,25-0-0,32-0-0,29-0-0,21-0-0,15-0-0,202,155
19,20,MLT,222855,MATTHEW FLORES,MLTMF2,NO,39-0-0,37-0-0,40-1-0,38-0-0,15-0-0,4-0-0,30-0-0,203,163
20,21,SRB,203013,NIKOLA BANJAC,SRBNB2,NO,40-1-0,30-0-0,21-0-0,36-0-0,38-0-0,20-0-0,18-0-0,203,163
21,22,FRA,217786,BAUDOUIN MOTTE,FRABM68,Q,34-0-0,35-1-0,22-0-0,35-0-0,24-0-0,23-0-0,25-0-0,198,163
22,23,GRE,217284,CHRIS BOBOTAS,GRECB3,NO,36-0-0,15-0-0,47-1-UFD,21-0-0,36-0-0,30-0-0,26-0-0,211,164
23,24,BAH,213428,JOSHUA HIGGINS,BAHJH1,NON EU,38-0-0,47-1-UFD,31-0-0,39-0-0,31-0-0,16-0-0,10-0-0,212,165
24,25,BUL,216982,MIHAIL BERBEROV,BULMB2,NO,39-1-0,25-0-0,17-0-0,38-0-0,32-0-0,25-0-0,29-0-0,205,166
25,26,ITA,217814,ALESSANDRO FRACASSI,ITAAF100,Q,44-1-0,35-0-0,31-0-0,30-0-0,35-0-0,15-0-0,32-0-0,222,178
26,27,GRE,217285,ACHILLEAS GHICAS,GREAG19,NO,35-0-0,24-0-0,25-0-0,39-1-0,35-0-0,32-0-0,27-0-0,217,178
27,28,BER,215024,MALCOLM BENN SMITH,BERMS8,NON EU,39-1-0,24-0-0,33-0-0,35-0-0,30-0-0,24-0-0,37-0-0,222,183
28,29,GER,217724,LEOPOLD BRANDL,GERLB33,Q,38-0-0,39-0-0,6-0-0,34-0-0,41-1-0,28-0-0,39-0-0,225,184
29,30,GRE,223839,ARISTOTELIS CHATZISTAMATIOU,GREAC11,NO,32-0-0,7-0-0,41-0-0,42-1-0,42-0-0,27-0-0,36-0-0,227,185
30,31,GBR,221505,KAI WOLGRAM,GBRKW39,Q,43-1-0,40-0-0,38-0-0,37-0-0,36-0-0,39-0-0,14-0-0,247,204
31,32,GRE,217716,MICHAEL PALIOS,GREMP36,NO,29-0-0,41-1-0,34-0-0,40-0-0,40-0-0,31-0-0,35-0-0,250,209
32,33,POL,220796,TOMASZ BENDLEWSKI,POLTB9,NO,30-0-0,44-1-0,41-0-0,41-0-0,38-0-0,38-0-0,22-0-0,254,210
33,34,ESP,218905,DIEGO PELETEIRO HERRERO,ESPDP19,Q,36-0-0,33-0-0,43-0-0,42-0-0,41-0-0,46-1-UFD,21-0-0,262,216
34,35,EST,218430,KAREL RATNIK,ESTKR8,NO,41-0-0,43-0-0,42-0-0,37-0-0,44-1-0,26-0-0,31-0-0,264,220
35,36,GRE,214208,ATHANASIOS TRIGKONIS,GREAT21,NO,43-0-0,34-0-0,40-0-0,37-0-0,45-1-0,36-0-0,33-0-0,268,223
36,37,ITA,222392,GIOVANNI DE PAULI,ITAGD126,Q,35-0-0,41-0-0,40-0-0,44-0-0,39-0-0,46-1-UFD,28-0-0,273,227
37,38,AUT,222007,FERDINAND STEFFAN,AUTFS12,NO,37-0-0,34-0-0,43-1-0,43-0-0,42-0-0,34-0-0,40-0-0,273,230
38,39,AUT,222070,JONAH MAIER,AUTJM7,NO,45-1-0,39-0-0,43-0-0,43-0-0,41-0-0,35-0-0,34-0-0,280,235
39,40,SUI,222051,TIMO COUPEK,SUITC2,NO,42-0-0,42-0-0,38-0-0,40-0-0,43-1-0,33-0-0,42-0-0,280,237
40,41,SUI,218554,FERRUCCIO ARVEDI,GBRFA5,NO,37-0-0,42-0-0,42-0-0,42-0-0,44-1-0,40-0-0,38-0-0,285,241
41,42,GRE,174557,DIONISIS FATSIADIS,GREDF7,NO,42-0-0,42-0-0,42-0-0,41-0-0,44-1-0,37-0-0,41-0-0,289,245
42,43,THA,222225,TEETOS TAKSINAPAN,THATT3,NON EU,44-0-0,43-0-0,45-1-0,45-0-0,45-0-0,41-0-0,43-0-0,306,261
43,44,GRE,224086,DIMITRIOS ANASTASIADIS,GREDA9,NO,46-1-0,43-0-0,44-0-0,46-0-0,46-0-0,42-0-0,44-0-0,311,265
44,45,FRA,201822,ZACHEE WAYAG,FRAZW1,Q,42-0-0,45-0-0,44-0-0,43-0-0,45-0-0,46-1-DNC,46-0-DNC,311,265
